Rank,Country/Territory,Tons per Year
1 Sharkfin exporter,Hong Kong,"6,556"
2 Sharkfin exporter,Thailand,"3,042"
3 Sharkfin exporter,Indonesia,"1,235"
4 Sharkfin exporter,China,"1,196"
5 Sharkfin exporter,Taiwan,"1,114"
,,
1 Sharkfin importer,Hong Kong,"10,490"
2 Sharkfin importer,China,"2,634"
3 Sharkfin importer,Malaysia,"1,172"
4 Sharkfin importer,Singapore,"1,583"
5 Sharkfin importer,Taiwan,681
,,
1 SharkM exporter,Taiwan,"15,785"
2 SharkM exporter,Spain,"15,608"
3 SharkM exporter,Uruguay,"17,223"
4 SharkM exporter,Argentina,"5,720"
5 SharkM exporter,Japan,"4,434"
,,
1 SharkM importer,South Korea,"20,656"
2 SharkM importer,Spain,"14,077"
3 SharkM importer,Italy,"11,526"
4 SharkM importer,Brazil,"20,131"
5 SharkM importer,Uruguay,"21,717"
